"id","robot","match","piece","pickup","score","level","success","time","phase"
1237,4939,48,"hatch","preload","top-rocket-low","1","success",16303,"sandstorm"
1238,4939,48,"hatch","top-hp","top-rocket-low","1","success",9341,"tele"
1239,4939,48,"hatch","top-hp","bot-rocket-low","1","success",3997,"tele"
1240,4939,48,"hatch","top-hp","bot-rocket-low","1","success",28368,"tele"
1242,5039,49,"hatch","preload","top-rocket-low","1","success",21450,"sandstorm"
1243,6878,49,"cargo","preload","top-cargo","1","success",19659,"sandstorm"
1244,7456,49,"cargo","preload","dropped","0","dropped",32694,"tele"
1245,7456,49,"hatch","top-hp","front-cargo","1","success",1658,"tele"
1246,7456,49,"cargo","top-hp","top-cargo","1","success",15834,"tele"
1253,5031,49,"hatch","top-hp","dropped","0","dropped",9574,"tele"
1254,5031,49,"hatch","top-hp","dropped","0","dropped",1197,"tele"
1255,5031,49,"hatch","top-hp","dropped","0","dropped",1477,"tele"
1256,5031,49,"hatch","top-hp","dropped","0","dropped",1174,"tele"
1257,5031,49,"hatch","top-hp","dropped","0","dropped",1758,"tele"
1258,5031,49,"cargo","top-hp","dropped","0","dropped",20472,"tele"
1259,5719,49,"hatch","preload","dropped","0","dropped",8526,"sandstorm"
1260,5719,49,"cargo","floor","top-cargo","1","success",17452,"tele"
1261,5719,49,"cargo","floor","top-cargo","1","success",28851,"tele"
1262,5719,49,"hatch","floor","top-cargo","1","success",6885,"tele"
1263,5076,49,"hatch","preload","bot-rocket-low","1","success",6832,"sandstorm"
1264,5076,49,"cargo","bot-hp","bot-cargo","1","success",2729,"tele"
1265,5076,49,"cargo","bot-hp","bot-cargo","1","success",2828,"tele"
1266,5076,49,"cargo","bot-hp","dropped","0","dropped",1265,"tele"
1267,5076,49,"cargo","bot-hp","dropped","0","dropped",1087,"tele"
1268,5076,49,"cargo","top-hp","dropped","0","dropped",1645,"tele"
1269,1246,50,"cargo","bot-hp","bot-cargo","1","success",2679,"tele"
1270,7690,50,"cargo","preload","top-cargo","1","success",8767,"sandstorm"
1271,7690,50,"cargo","top-hp","top-cargo","1","success",6946,"tele"
1272,7690,50,"cargo","bot-hp","top-cargo","1","success",12436,"tele"
1273,7690,50,"cargo","bot-hp","bot-cargo","1","success",23415,"tele"
1274,5024,50,"hatch","preload","dropped","0","dropped",11447,"sandstorm"
1275,5024,50,"hatch","bot-hp","bot-cargo","1","success",6884,"tele"
1276,5024,50,"cargo","bot-hp","bot-cargo","1","success",18037,"tele"
1277,5024,50,"cargo","bot-hp","bot-cargo","1","success",10198,"tele"
1278,5024,50,"hatch","bot-hp","front-cargo","1","success",18444,"tele"
1279,5024,50,"cargo","bot-hp","front-cargo","1","success",5299,"tele"
1282,7520,50,"cargo","preload","top-cargo","1","success",3516,"tele"
1283,7520,50,"cargo","top-hp","top-cargo","1","success",17258,"tele"
1284,2706,50,"cargo","floor","dropped","0","dropped",4687,"tele"
1285,2706,50,"cargo","floor","front-cargo","1","success",6642,"tele"
1286,2706,50,"hatch","top-hp","top-rocket-low","1","success",22693,"tele"
1287,2706,50,"hatch","top-hp","top-rocket-low","1","attempted",23474,"tele"
1288,2706,50,"hatch","top-hp","dropped","0","dropped",4117,"tele"
1289,746,51,"hatch","preload","top-rocket-low","1","success",31390,"tele"
1290,5911,51,"hatch","preload","dropped","0","dropped",9675,"sandstorm"
1291,5911,51,"hatch","top-hp","bot-cargo","1","success",71449,"tele"
1292,4939,51,"hatch","preload","bot-rocket-low","1","success",17601,"sandstorm"
1293,4939,51,"hatch","bot-hp","bot-rocket-high","3","success",11387,"tele"
1294,4939,51,"hatch","bot-hp","bot-rocket-mid","2","success",17025,"tele"
1295,4939,51,"hatch","bot-hp","front-cargo","1","success",4386,"tele"
1296,4939,51,"hatch","bot-hp","bot-rocket-low","1","success",9719,"tele"
1297,4939,51,"hatch","bot-hp","bot-rocket-mid","2","success",10782,"tele"
1298,5076,51,"hatch","preload","front-cargo","1","success",8851,"sandstorm"
1299,5076,51,"cargo","top-hp","top-cargo","1","success",10167,"tele"
1300,5076,51,"cargo","top-hp","top-cargo","1","success",9254,"tele"
1301,5076,51,"cargo","top-hp","top-cargo","1","success",22181,"tele"
1302,5076,51,"cargo","top-hp","front-cargo","1","success",11112,"tele"
1303,5076,51,"cargo","top-hp","bot-cargo","1","success",10411,"tele"
1304,7710,51,"hatch","preload","front-cargo","1","success",10553,"sandstorm"
1305,7710,51,"hatch","bot-hp","front-cargo","1","success",7021,"tele"
